id,travel_time_s,events,stopping_reason,runout_m,seeder_index,seeder_x,seeder_y,seeder_z,seeder_type
74,12.452,85,Stopped,164.282,74,159974.879,3058902.099,2128.903,line
75,18.451,124,Stopped,143.13,75,159974.542,3058904.405,2129.98,line
76,16.435,108,Stopped,145.963,76,159973.87,3058908.992,2130.049,line
77,13.418,89,Stopped,162.252,77,159973.706,3058910.114,2129.159,line
78,15.612,103,Stopped,189.8,78,159973.065,3058914.497,2128.193,line
79,3.395,26,Stopped,5.393,79,159972.814,3058916.209,2128.067,line
80,12.201,83,Stopped,145.532,80,159972.377,3058919.198,2126.904,line
81,11.842,79,Stopped,133.574,81,159972.047,3058921.453,2128.608,line
82,12.493,85,Stopped,150.307,82,159971.481,3058925.319,2129.988,line
83,11.785,84,Stopped,150.797,83,159971.254,3058926.87,2130.061,line
84,15.633,106,Stopped,146.495,84,159971.126,3058927.743,2130.134,line
85,15.269,108,Stopped,154.968,85,159970.766,3058930.207,2129.399,line
86,10.821,79,Stopped,141.028,86,159970.08,3058934.892,2129.492,line
87,13.035,87,Stopped,163.265,87,159969.573,3058938.36,2128.803,line
88,13.788,95,Stopped,160.009,88,159968.829,3058943.442,2130.167,line
89,10.711,74,Stopped,143.096,89,159968.414,3058946.278,2130.167,line
90,12.438,87,Stopped,151.059,90,159968.356,3058946.673,2130.167,line
91,12.944,87,Stopped,146.067,91,159968.032,3058948.887,2130.064,line
92,12.353,83,Stopped,146.461,92,159968.077,3058950.625,2129.988,line
93,12.015,80,Stopped,147.156,93,159968.094,3058951.291,2129.711,line
94,14.315,95,Stopped,147.942,94,159968.103,3058951.654,2129.397,line
95,15.712,105,Stopped,156.36,95,159968.12,3058952.304,2129.663,line
96,13.06,87,Stopped,171.018,96,159968.241,3058957.029,2128.144,line
97,13.042,86,Stopped,134.973,97,159968.266,3058958.003,2128.151,line
98,13.711,98,Stopped,162.027,98,159968.334,3058960.657,2127.182,line
99,16.774,110,Stopped,155.663,99,159968.364,3058961.837,2127.758,line
100,11.594,78,Stopped,152.839,100,159968.598,3058970.974,2129.737,line
101,19.937,139,Stopped,135.516,101,159968.653,3058973.088,2129.697,line
102,11.966,78,Stopped,144.893,102,159968.861,3058981.223,2129.699,line
103,11.738,78,Stopped,142.618,103,159968.889,3058982.309,2128.169,line
104,14.194,94,Stopped,144.273,104,159968.921,3058983.546,2129.041,line
105,12.874,87,Stopped,148.274,105,159968.971,3058985.494,2129.276,line
106,14.548,95,Stopped,173.599,106,159968.988,3058986.168,2129.357,line
107,11.868,80,Stopped,140.737,107,159969.105,3058990.731,2129.378,line
108,12.856,87,Stopped,140.21,108,159969.143,3058992.198,2127.14,line
109,15.356,102,Stopped,157.884,109,159969.168,3058993.171,2126.659,line
110,3.175,25,Stopped,5.716,110,159969.195,3058994.233,2127.446,line
111,14.157,95,Stopped,153.96,111,159969.332,3058999.59,2127.276,line
112,15.458,102,Stopped,149.115,112,159969.424,3059003.161,2128.789,line
113,12.765,84,Stopped,141.806,113,159969.537,3059007.579,2128.621,line
114,12.011,81,Stopped,151.519,114,159969.623,3059010.919,2127.901,line
115,12.155,82,Stopped,136.391,115,159969.644,3059011.763,2125.737,line
116,11.13,75,Stopped,148.918,116,159969.699,3059013.88,2125.849,line
117,13.008,86,Stopped,140.757,117,159969.817,3059018.502,2126.474,line
118,16.638,111,Stopped,142.106,118,159969.873,3059020.674,2128.28,line
119,12.805,87,Stopped,145.032,119,159969.921,3059022.564,2128.242,line
120,12.506,85,Stopped,146.963,120,159970.032,3059026.868,2128.337,line
121,14.488,96,Stopped,141.686,121,159970.182,3059032.743,2127.853,line
122,13.04,88,Stopped,156.334,122,159970.252,3059035.475,2128.064,line
123,3.133,25,Stopped,5.46,123,159970.316,3059037.965,2128.993,line
124,12.253,81,Stopped,145.697,124,159970.956,3059038.713,2128.034,line
125,12.879,85,Stopped,151.379,125,159976.053,3059044.672,2126.763,line
126,16.26,110,Stopped,157.174,126,159976.117,3059044.748,2126.704,line
127,14.275,96,Stopped,161.785,127,159976.9,3059045.663,2124.186,line
128,11.718,78,Stopped,145.544,128,159979.747,3059048.992,2124.391,line
129,15.432,101,Stopped,141.245,129,159980.383,3059049.735,2123.854,line
130,13.879,94,Stopped,145.819,130,159981.184,3059050.672,2123.601,line
131,13.563,89,Stopped,167.147,131,159982.65,3059052.385,2118.337,line
132,12.062,83,Stopped,164.219,132,159982.781,3059052.539,2118.347,line
133,11.507,77,Stopped,145.541,133,159989.69,3059060.617,2119.29,line
134,13.757,93,Stopped,153.253,134,159990.052,3059061.041,2119.485,line
135,13.816,95,Stopped,165.571,135,159991.642,3059062.9,2124.054,line
136,15.035,101,Stopped,145.554,136,159991.863,3059063.158,2124.332,line
137,14.728,100,Stopped,173.077,137,159993.521,3059065.097,2126.415,line
138,14.465,103,Stopped,140.762,138,159994.581,3059066.336,2126.311,line
139,12.199,83,Stopped,152.66,139,159996.218,3059068.25,2126.696,line
140,13.444,90,Stopped,140.301,140,159997.963,3059070.291,2125.297,line
141,16.415,111,Stopped,185.146,141,159998.669,3059071.115,2125.911,line
142,15.021,103,Stopped,159.221,142,159999.719,3059072.344,2125.541,line
143,10.208,69,Stopped,148.629,143,160000.189,3059072.894,2125.371,line
144,16.354,111,Stopped,173.526,144,160001.36,3059074.262,2127.384,line
